0,Gary,Cross,"711 Golden Overpass
West Andreaville, MA 71317",tamaramorrison@hotmail.com,pbkdf2:sha256:260000$5ZQNyzNQKxQZhmJZ$46f04ef1c0044b624e56e5fa025691d53f08c992c72710cc64421bbd6cf14d2f,1,1978.4500000000003
1,Denise,Thornton,"30989 Anthony Roads
New Maria, MO 12498",martha10@hotmail.com,pbkdf2:sha256:260000$svkEpDG5KH28pkWB$be4129e41c713d6d4aed96b47f3e2dd30ac714cff6048081833fad8959169b13,1,4913.55
2,Jeanne,Green,"22584 Candice Mills
North Thomas, OK 67164",deborah64@gmail.com,pbkdf2:sha256:260000$qQyKj88WeSMTrcf3$a84ad9c0c2a4b509153425225463d7849ffbee6ebfeda97153b9cd538649a97f,0,-590.4699999999998
3,John,Hoffman,"63812 Richard Springs Suite 503
Lake Karenhaven, CT 25464",franklinjames@yahoo.com,pbkdf2:sha256:260000$QqQOmKWKx23AjygY$d4b7c3186c5af533935e30aa1b467b57cabac2fd93c171b972857b9ca1f27eb0,1,2028.3400000000006
4,Timothy,Parker,"87755 Timothy Squares
Simmonsport, WA 90561",samanthasims@yahoo.com,pbkdf2:sha256:260000$sAgjHIMobDPn2GUB$6fb23d50694579a9e4787b0a0b31c11370757f610b6580915f63dd5e81eb83d3,1,5870.22
5,Linda,Freeman,"577 Amy Forges Apt. 555
New Eddieview, WY 20935",taguilar@hotmail.com,pbkdf2:sha256:260000$pGhd3xJQkfZhwt6b$e8a99c3f8ead2f52cf46a7d031ed69d0b5a4cff7776e81cdc612e209458298e6,1,-3088.49
6,Sandra,Brown,"256 Cheryl Lights
Williamsfort, FL 03152",georgedavid@yahoo.com,pbkdf2:sha256:260000$Y18FJIBDmpV56Mcr$126b324e3e97c0820410ab134e02c97d7155e9a3b812e561e01d3c1c500cc022,1,3395.98
7,Paula,Wilkerson,"16116 Jessica Burgs Suite 660
Calhounmouth, KS 10795",chad50@yahoo.com,pbkdf2:sha256:260000$4Vl4fsqTuBFQOU6d$31a9f0f84a53af51064b4aa2393d1c4f6baf13dea1f4366937bf0a5700ae08d4,1,3414.32
8,Willie,Garcia,"332 Watson Shore Apt. 290
Millerland, MT 39742",jyang@hotmail.com,pbkdf2:sha256:260000$yH08en48pPBNi2qz$6a46c5ee4ce0215f01846f3df83fe5410c6bb714242c7bb4c29b08ca8c878f45,1,412.9800000000005
9,Michael,Montgomery,"Unit 4892 Box 6717
DPO AE 71770",bramirez@gmail.com,pbkdf2:sha256:260000$JSuD43JxOJoiymXp$7fdb2ac5a2c693c0a02f1d2eadb4ae9df2f40859c9f03df020b1f6c75500f9d5,0,3310.8500000000004
